,Burn_Value,EVT_Value,freq,EVT_Name,EVT_PHYS,EVT_Fuel_N,acres
197,9,7301,392,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,0.096861873
198,9,7302,2694,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,0.66567828
199,9,7362,131,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.032369657
200,9,7366,678,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,0.167531505
201,9,7407,11,Laurentian Pine Barrens,Conifer,Tr Laurentian Pine Barrens,0.002718063
202,9,7481,1843,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,0.455399061
203,9,7905,68,Eastern Cool Temperate Urban Deciduous Forest,Developed,Dtd Urban Deciduous Forest,0.01680257
204,9,7906,151,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.037311589
205,9,7907,117,Eastern Cool Temperate Urban Mixed Forest,Developed,Dtm Urban Mixed Deciduous-Evergreen Forest,0.028910304
206,9,7908,11,Eastern Cool Temperate Urban Herbaceous,Developed,Dgr Urban Herbaceous,0.002718063
207,9,7909,24,Eastern Cool Temperate Urban Shrubland,Developed,Dsh Urban Shrubland,0.005930319
208,9,7934,1,Eastern Cool Temperate Developed Ruderal Grassland,Developed,Dgr Developed Ruderal Grassland,0.000247097
209,9,9055,2,Boreal-Laurentian Bog,Riparian,Tr Boreal Acidic Peatland Systems,0.000494193
210,9,9056,897,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,0.221645663
211,9,9088,3,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Tr Boreal Jack Pine-Black Spruce Forest,0.00074129
212,9,9089,801,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,0.197924388
213,9,9112,3383,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,0.835927848
